,Age,Gender,Education Level,Field,Years of Experience,Salary
964,31.0,Male,Bachelor's,Research and Analysis,9.0,190000.0
965,28.0,Female,Bachelor's,Software Development,5.0,150000.0
966,26.0,Female,Bachelor's,Research and Analysis,3.0,120000.0
967,30.0,Male,PhD,Research and Analysis,7.0,170000.0
968,27.0,Female,Bachelor's,Operations and Project Management,4.0,130000.0
969,24.0,Male,Bachelor's,Research and Analysis,2.0,95000.0
970,33.0,Male,Master's,Operations and Project Management,11.0,195000.0
971,25.0,Male,Bachelor's,Research and Analysis,2.0,100000.0
972,28.0,Male,Bachelor's,Software Development,5.0,150000.0
973,26.0,Male,Bachelor's,Research and Analysis,3.0,120000.0
974,29.0,Female,Master's,Research and Analysis,6.0,150000.0
975,32.0,Male,Bachelor's,Research and Analysis,8.0,180000.0
976,33.0,Female,Master's,Operations and Project Management,11.0,195000.0
977,27.0,Male,Bachelor's,Software Development,4.0,160000.0
978,31.0,Female,Master's,Research and Analysis,6.0,170000.0
979,30.0,Male,Bachelor's,Research and Analysis,5.0,140000.0
980,24.0,Male,Bachelor's,Research and Analysis,2.0,95000.0
981,28.0,Female,Bachelor's,Software Development,5.0,150000.0
982,26.0,Male,Bachelor's,Research and Analysis,3.0,120000.0
983,32.0,Male,Bachelor's,Software Development,8.0,180000.0
984,33.0,Female,Master's,Operations and Project Management,11.0,195000.0
985,25.0,Male,Bachelor's,Research and Analysis,2.0,100000.0
986,30.0,Female,PhD,Research and Analysis,7.0,170000.0
987,27.0,Male,Bachelor's,Software Development,4.0,160000.0
988,34.0,Female,Master's,Operations and Project Management,12.0,190000.0
989,31.0,Male,Bachelor's,Research and Analysis,9.0,190000.0
990,28.0,Female,Bachelor's,Software Development,5.0,150000.0
991,26.0,Male,Bachelor's,Research and Analysis,3.0,120000.0
992,29.0,Female,Master's,Research and Analysis,6.0,150000.0
993,32.0,Male,Bachelor's,Software Development,8.0,180000.0
994,33.0,Female,Master's,Operations and Project Management,11.0,195000.0
995,24.0,Male,Bachelor's,Research and Analysis,2.0,95000.0
996,27.0,Male,Bachelor's,Software Development,4.0,160000.0
997,25.0,Female,Bachelor's,Research and Analysis,2.0,100000.0
998,30.0,Female,PhD,Research and Analysis,7.0,170000.0
999,31.0,Male,Bachelor's,Research and Analysis,9.0,190000.0
1000,28.0,Female,Bachelor's,Software Development,5.0,150000.0
1001,26.0,Male,Bachelor's,Research and Analysis,3.0,120000.0
1002,29.0,Female,Master's,Research and Analysis,6.0,150000.0
1003,32.0,Male,Bachelor's,Software Development,8.0,180000.0
1004,33.0,Female,Master's,Operations and Project Management,11.0,195000.0
1005,24.0,Male,Bachelor's,Research and Analysis,2.0,95000.0
1006,27.0,Male,Bachelor's,Software Development,4.0,160000.0
1007,25.0,Female,Bachelor's,Research and Analysis,2.0,100000.0
1008,30.0,Female,PhD,Research and Analysis,7.0,170000.0
1009,31.0,Male,Bachelor's,Research and Analysis,9.0,190000.0
1010,28.0,Female,Bachelor's,Software Development,5.0,150000.0
1011,26.0,Male,Bachelor's,Research and Analysis,3.0,120000.0
1012,29.0,Female,Master's,Research and Analysis,6.0,150000.0
1013,32.0,Male,Bachelor's,Software Development,8.0,180000.0
1014,33.0,Female,Master's,Operations and Project Management,11.0,195000.0
1015,24.0,Male,Bachelor's,Research and Analysis,2.0,95000.0
1016,27.0,Male,Bachelor's,Software Development,4.0,160000.0
1017,25.0,Female,Bachelor's,Research and Analysis,2.0,100000.0
1018,30.0,Female,PhD,Research and Analysis,7.0,170000.0
1019,31.0,Male,Bachelor's,Research and Analysis,9.0,190000.0
1020,28.0,Female,Bachelor's,Software Development,5.0,150000.0
1021,26.0,Male,Bachelor's,Research and Analysis,3.0,120000.0
1022,29.0,Female,Master's,Research and Analysis,6.0,150000.0
1023,32.0,Male,Bachelor's,Software Development,8.0,180000.0
1024,33.0,Female,Master's,Operations and Project Management,11.0,195000.0
1025,24.0,Male,Bachelor's,Research and Analysis,2.0,95000.0
1026,27.0,Male,Bachelor's,Software Development,4.0,160000.0
1027,25.0,Female,Bachelor's,Research and Analysis,2.0,100000.0
1028,30.0,Female,PhD,Research and Analysis,7.0,170000.0
1029,31.0,Male,Bachelor's,Research and Analysis,9.0,190000.0
1030,28.0,Female,Bachelor's,Software Development,5.0,150000.0
1031,26.0,Male,Bachelor's,Research and Analysis,3.0,120000.0
1032,29.0,Female,Master's,Research and Analysis,6.0,150000.0
1033,32.0,Male,Bachelor's,Software Development,8.0,180000.0
1034,33.0,Female,Master's,Operations and Project Management,11.0,195000.0
1035,24.0,Male,Bachelor's,Research and Analysis,2.0,95000.0
1036,27.0,Male,Bachelor's,Software Development,4.0,160000.0
1037,25.0,Female,Bachelor's,Research and Analysis,2.0,100000.0
1038,30.0,Female,PhD,Research and Analysis,7.0,170000.0
1039,31.0,Male,Bachelor's,Research and Analysis,9.0,190000.0
1040,28.0,Female,Bachelor's,Software Development,5.0,150000.0
1041,26.0,Male,Bachelor's,Research and Analysis,3.0,120000.0
1042,29.0,Female,Master's,Research and Analysis,6.0,150000.0
1043,32.0,Male,Bachelor's,Software Development,8.0,180000.0
1044,33.0,Female,Master's,Operations and Project Management,11.0,195000.0
1045,24.0,Male,Bachelor's,Research and Analysis,2.0,95000.0
1046,27.0,Male,Bachelor's,Software Development,4.0,160000.0
1047,25.0,Female,Bachelor's,Research and Analysis,2.0,100000.0
1048,30.0,Female,PhD,Research and Analysis,7.0,170000.0
1049,31.0,Male,Bachelor's,Research and Analysis,9.0,190000.0
1050,28.0,Female,Bachelor's,Software Development,5.0,150000.0
1051,26.0,Male,Bachelor's,Research and Analysis,3.0,120000.0
1052,29.0,Female,Master's,Research and Analysis,6.0,150000.0
1053,32.0,Male,Bachelor's,Software Development,8.0,180000.0
1054,33.0,Female,Master's,Operations and Project Management,11.0,195000.0
1055,24.0,Male,Bachelor's,Research and Analysis,2.0,95000.0
1056,27.0,Male,Bachelor's,Software Development,4.0,160000.0
1057,25.0,Female,Bachelor's,Research and Analysis,2.0,100000.0
1058,30.0,Female,PhD,Research and Analysis,7.0,170000.0
1059,31.0,Male,Bachelor's,Research and Analysis,9.0,190000.0
1060,28.0,Female,Bachelor's,Software Development,5.0,150000.0
1061,26.0,Male,Bachelor's,Research and Analysis,3.0,120000.0
1062,29.0,Female,Master's,Research and Analysis,6.0,150000.0
1063,32.0,Male,Bachelor's,Software Development,8.0,180000.0
1064,33.0,Female,Master's,Operations and Project Management,11.0,195000.0
1065,24.0,Male,Bachelor's,Research and Analysis,2.0,95000.0
1066,27.0,Male,Bachelor's,Software Development,4.0,160000.0
1067,25.0,Female,Bachelor's,Research and Analysis,2.0,100000.0
1068,30.0,Female,PhD,Research and Analysis,7.0,170000.0
1069,31.0,Male,Bachelor's,Research and Analysis,9.0,190000.0
1070,28.0,Female,Bachelor's,Software Development,5.0,150000.0
1071,26.0,Male,Bachelor's,Research and Analysis,3.0,120000.0
1072,29.0,Female,Master's,Research and Analysis,6.0,150000.0
1073,32.0,Male,Bachelor's,Software Development,8.0,180000.0
1074,33.0,Female,Master's,Operations and Project Management,11.0,195000.0
1075,24.0,Male,Bachelor's,Research and Analysis,2.0,95000.0
1076,27.0,Male,Bachelor's,Software Development,4.0,160000.0
1077,25.0,Female,Bachelor's,Research and Analysis,2.0,100000.0
1078,30.0,Female,PhD,Research and Analysis,7.0,170000.0
1079,31.0,Male,Bachelor's,Research and Analysis,9.0,190000.0
1080,28.0,Female,Bachelor's,Software Development,5.0,150000.0
1081,26.0,Male,Bachelor's,Research and Analysis,3.0,120000.0
1082,29.0,Female,Master's,Research and Analysis,6.0,150000.0
1083,32.0,Male,Bachelor's,Software Development,8.0,180000.0
1084,33.0,Female,Master's,Operations and Project Management,11.0,195000.0
1085,24.0,Male,Bachelor's,Research and Analysis,2.0,95000.0
1086,27.0,Male,Bachelor's,Software Development,4.0,160000.0
1087,25.0,Female,Bachelor's,Research and Analysis,2.0,100000.0
1088,30.0,Female,PhD,Research and Analysis,7.0,170000.0
1089,29.0,Male,Bachelor's,Software Development,7.0,180000.0
1090,27.0,Female,Bachelor's,Research and Analysis,5.0,120000.0
1091,33.0,Male,Master's,Research and Analysis,10.0,195000.0
1092,28.0,Male,Bachelor's,Software Development,4.0,160000.0
1093,26.0,Female,Bachelor's,Research and Analysis,3.0,100000.0
1094,31.0,Male,Bachelor's,Operations and Project Management,8.0,190000.0
1095,30.0,Male,Master's,Software Development,6.0,170000.0
1096,32.0,Female,Bachelor's,Research and Analysis,9.0,185000.0
1097,29.0,Male,Bachelor's,Research and Analysis,7.0,130000.0
1098,35.0,Female,Bachelor's,Operations and Project Management,12.0,190000.0
1099,27.0,Male,Bachelor's,Software Development,5.0,150000.0
1100,28.0,Female,Master's,Research and Analysis,6.0,150000.0
1101,37.0,Male,PhD,Operations and Project Management,14.0,195000.0
1102,26.0,Male,Bachelor's,Research and Analysis,3.0,110000.0
1103,30.0,Female,Bachelor's,Software Development,8.0,180000.0
1104,31.0,Male,Master's,Research and Analysis,9.0,185000.0
1105,29.0,Female,Bachelor's,Research and Analysis,7.0,130000.0
1106,32.0,Male,Bachelor's,Software Development,10.0,190000.0
1107,28.0,Female,Master's,Research and Analysis,6.0,155000.0
1108,34.0,Male,Bachelor's,Software Development,12.0,195000.0
1109,25.0,Female,Bachelor's,Research and Analysis,2.0,90000.0
1110,30.0,Male,Bachelor's,Operations and Project Management,8.0,185000.0
1111,29.0,Female,Bachelor's,Research and Analysis,6.0,120000.0
1112,31.0,Male,Bachelor's,Software Development,9.0,180000.0
1113,26.0,Female,Bachelor's,Research and Analysis,3.0,100000.0
1114,33.0,Male,Master's,Research and Analysis,10.0,195000.0
1115,28.0,Male,Bachelor's,Software Development,4.0,160000.0
1116,27.0,Female,Bachelor's,Research and Analysis,5.0,125000.0
1117,30.0,Male,Master's,Software Development,6.0,170000.0
1118,32.0,Female,Bachelor's,Research and Analysis,9.0,185000.0
1119,29.0,Male,Bachelor's,Research and Analysis,7.0,130000.0
1120,35.0,Female,Bachelor's,Operations and Project Management,12.0,190000.0
1121,27.0,Male,Bachelor's,Software Development,5.0,150000.0
1122,28.0,Female,Master's,Research and Analysis,6.0,150000.0
1123,37.0,Male,PhD,Operations and Project Management,14.0,195000.0
1124,26.0,Male,Bachelor's,Research and Analysis,3.0,110000.0
1125,30.0,Female,Bachelor's,Software Development,8.0,180000.0
1126,31.0,Male,Master's,Research and Analysis,9.0,185000.0
1127,29.0,Female,Bachelor's,Research and Analysis,7.0,130000.0
1128,32.0,Male,Bachelor's,Software Development,10.0,190000.0
1129,28.0,Female,Master's,Research and Analysis,6.0,155000.0
1130,34.0,Male,Bachelor's,Software Development,12.0,195000.0
1131,25.0,Female,Bachelor's,Research and Analysis,2.0,90000.0
1132,30.0,Male,Bachelor's,Operations and Project Management,8.0,185000.0
1133,29.0,Female,Bachelor's,Research and Analysis,6.0,120000.0
1134,31.0,Male,Bachelor's,Software Development,9.0,180000.0
1135,26.0,Female,Bachelor's,Research and Analysis,3.0,100000.0
1136,33.0,Male,Master's,Research and Analysis,10.0,195000.0
1137,28.0,Male,Bachelor's,Software Development,4.0,160000.0
1138,27.0,Female,Bachelor's,Research and Analysis,5.0,125000.0
1139,30.0,Male,Master's,Software Development,6.0,170000.0
1140,32.0,Female,Bachelor's,Research and Analysis,9.0,185000.0
1141,29.0,Male,Bachelor's,Research and Analysis,7.0,130000.0
1142,35.0,Female,Bachelor's,Operations and Project Management,12.0,190000.0
1143,27.0,Male,Bachelor's,Software Development,5.0,150000.0
1144,28.0,Female,Master's,Research and Analysis,6.0,150000.0
1145,37.0,Male,PhD,Operations and Project Management,14.0,195000.0
1146,26.0,Male,Bachelor's,Research and Analysis,3.0,110000.0
1147,30.0,Female,Bachelor's,Software Development,8.0,180000.0
1148,31.0,Male,Master's,Research and Analysis,9.0,185000.0
1149,29.0,Female,Bachelor's,Research and Analysis,7.0,130000.0
1150,32.0,Male,Bachelor's,Software Development,10.0,190000.0
1151,28.0,Female,Master's,Research and Analysis,6.0,155000.0
1152,34.0,Male,Bachelor's,Software Development,12.0,195000.0
1153,25.0,Female,Bachelor's,Research and Analysis,2.0,90000.0
1154,30.0,Male,Bachelor's,Operations and Project Management,8.0,185000.0
1155,29.0,Female,Bachelor's,Research and Analysis,6.0,120000.0
1156,31.0,Male,Bachelor's,Software Development,9.0,180000.0
1157,26.0,Female,Bachelor's,Research and Analysis,3.0,100000.0
1158,33.0,Male,Master's,Research and Analysis,10.0,195000.0
1159,28.0,Male,Bachelor's,Software Development,4.0,160000.0
1160,27.0,Female,Bachelor's,Research and Analysis,5.0,125000.0
1161,30.0,Male,Master's,Software Development,6.0,170000.0
1162,32.0,Female,Bachelor's,Research and Analysis,9.0,185000.0
1163,29.0,Male,Bachelor's,Research and Analysis,7.0,130000.0
1164,35.0,Female,Bachelor's,Operations and Project Management,12.0,190000.0
1165,27.0,Male,Bachelor's,Software Development,5.0,150000.0
1166,28.0,Female,Master's,Research and Analysis,6.0,150000.0
1167,37.0,Male,PhD,Operations and Project Management,14.0,195000.0
1168,26.0,Male,Bachelor's,Research and Analysis,3.0,110000.0
1169,30.0,Female,Bachelor's,Software Development,8.0,180000.0
1170,31.0,Male,Master's,Research and Analysis,9.0,185000.0
1171,29.0,Female,Bachelor's,Research and Analysis,7.0,130000.0
1172,32.0,Male,Bachelor's,Software Development,10.0,190000.0
1173,28.0,Female,Master's,Research and Analysis,6.0,155000.0
1174,34.0,Male,Bachelor's,Software Development,12.0,195000.0
1175,25.0,Female,Bachelor's,Research and Analysis,2.0,90000.0
1176,30.0,Male,Bachelor's,Operations and Project Management,8.0,185000.0
1177,29.0,Female,Bachelor's,Research and Analysis,6.0,120000.0
1178,31.0,Male,Bachelor's,Software Development,9.0,180000.0
1179,26.0,Female,Bachelor's,Research and Analysis,3.0,100000.0
1180,33.0,Male,Master's,Research and Analysis,10.0,195000.0
1181,28.0,Male,Bachelor's,Software Development,4.0,160000.0
1182,27.0,Female,Bachelor's,Research and Analysis,5.0,125000.0
1183,30.0,Male,Master's,Software Development,6.0,170000.0
1184,32.0,Female,Bachelor's,Research and Analysis,9.0,185000.0
1185,29.0,Male,Bachelor's,Research and Analysis,7.0,130000.0
1186,35.0,Female,Bachelor's,Operations and Project Management,12.0,190000.0
1187,27.0,Male,Bachelor's,Software Development,5.0,150000.0
1188,28.0,Female,Master's,Research and Analysis,6.0,150000.0
1189,37.0,Male,PhD,Operations and Project Management,14.0,195000.0
1190,26.0,Male,Bachelor's,Research and Analysis,3.0,110000.0
1191,30.0,Female,Bachelor's,Software Development,8.0,180000.0
1192,31.0,Male,Master's,Research and Analysis,9.0,185000.0
1193,29.0,Female,Bachelor's,Research and Analysis,7.0,130000.0
1194,32.0,Male,Bachelor's,Software Development,10.0,190000.0
1195,28.0,Female,Master's,Research and Analysis,6.0,155000.0
1196,34.0,Male,Bachelor's,Software Development,12.0,195000.0
1197,25.0,Female,Bachelor's,Research and Analysis,2.0,90000.0
1198,30.0,Male,Bachelor's,Operations and Project Management,8.0,185000.0
1199,28.0,Male,Bachelor's,Software Development,7.0,175000.0
1200,44.0,Male,PhD,Software Development,18.0,190000.0
1201,33.0,Female,Master's,Software Development,5.0,110000.0
1202,50.0,Male,PhD,Operations and Project Management,16.0,195000.0
1203,27.0,Female,Master's,Software Development,3.0,100000.0
1204,25.0,Male,Bachelor's,Software Development,1.0,60000.0
1205,35.0,Male,Master's,Software Development,8.0,155000.0
1206,47.0,Female,PhD,Software Development,12.0,175000.0
1207,46.0,Female,Master's,Operations and Project Management,13.0,180000.0
1208,32.0,Male,Bachelor's,Software Development,4.0,95000.0
1209,61.0,Male,PhD,Software Development,20.0,200000.0
1210,41.0,Male,Master's,Software Development,11.0,165000.0
1211,37.0,Male,Master's,Operations and Project Management,9.0,145000.0
1212,53.0,Male,PhD,Software Development,19.0,195000.0
1213,30.0,Female,Bachelor's,Software Development,2.0,75000.0
1214,26.0,Female,Master's,Software Development,3.0,90000.0
1215,37.0,Female,Master's,Software Development,9.0,155000.0
1216,32.0,Male,Bachelor's,Software Development,5.0,115000.0
1217,44.0,Female,Master's,Software Development,12.0,170000.0
1218,50.0,Female,PhD,Software Development,16.0,190000.0
1219,27.0,Male,Bachelor's,Operations and Project Management,4.0,115000.0
1220,42.0,Male,PhD,Software Development,14.0,180000.0
1221,57.0,Male,PhD,Software Development,18.0,195000.0
1222,35.0,Male,Master's,Software Development,7.0,140000.0
1223,62.0,Male,PhD,Software Development,19.0,200000.0
1224,26.0,Female,Master's,Software Development,2.0,70000.0
1225,42.0,Female,Master's,Operations and Project Management,11.0,170000.0
1226,41.0,Female,PhD,Software Development,14.0,185000.0
1227,36.0,Female,Master's,Software Development,8.0,140000.0
1228,49.0,Male,PhD,Software Development,15.0,185000.0
1229,49.0,Male,PhD,Operations and Project Management,15.0,185000.0
1230,47.0,Male,PhD,Software Development,15.0,180000.0
1231,47.0,Male,PhD,Software Development,14.0,175000.0
1232,26.0,Male,Bachelor's,Software Development,2.0,70000.0
1233,24.0,Female,Bachelor's,Software Development,1.0,60000.0
1234,62.0,Male,PhD,Software Development,20.0,200000.0
1235,42.0,Male,PhD,Software Development,14.0,170000.0
1236,41.0,Female,Master's,Operations and Project Management,11.0,165000.0
1237,23.0,Male,Bachelor's,Software Development,1.0,55000.0
1238,55.0,Male,PhD,Software Development,17.0,190000.0
1239,26.0,Female,Master's,Software Development,3.0,90000.0
1240,33.0,Female,Bachelor's,Software Development,5.0,105000.0
1241,31.0,Male,Master's,Software Development,6.0,130000.0
1242,50.0,Female,PhD,Software Development,16.0,185000.0
1243,24.0,Female,Master's,Software Development,1.0,60000.0
1244,56.0,Male,PhD,Software Development,17.0,195000.0
1245,24.0,Male,Bachelor's,Software Development,1.0,60000.0
1246,37.0,Male,Master's,Software Development,8.0,150000.0
1247,43.0,Female,PhD,Operations and Project Management,13.0,180000.0
1248,44.0,Female,Master's,Software Development,12.0,170000.0
1249,34.0,Male,Master's,Software Development,6.0,125000.0
1250,45.0,Male,PhD,Software Development,15.0,185000.0
1251,29.0,Male,Bachelor's,Software Development,3.0,90000.0
1252,29.0,Male,Bachelor's,Software Development,3.0,80000.0
1253,29.0,Female,Bachelor's,Software Development,3.0,85000.0
1254,48.0,Male,PhD,Operations and Project Management,16.0,190000.0
1255,43.0,Female,Master's,Software Development,11.0,160000.0
1256,62.0,Male,PhD,Software Development,19.0,200000.0
1257,54.0,Male,PhD,Software Development,17.0,195000.0
1258,60.0,Male,PhD,Software Development,18.0,195000.0
1259,54.0,Female,PhD,Software Development,14.0,190000.0
1260,27.0,Female,Master's,Software Development,3.0,95000.0
1261,23.0,Male,Bachelor's,Software Development,1.0,55000.0
1262,45.0,Male,PhD,Software Development,13.0,185000.0
1263,32.0,Female,Master's,Software Development,5.0,120000.0
1264,57.0,Male,PhD,Software Development,16.0,195000.0
1265,47.0,Male,PhD,Software Development,14.0,175000.0
1266,25.0,Female,Master's,Software Development,2.0,75000.0
1267,58.0,Male,PhD,Software Development,17.0,200000.0
1268,41.0,Female,Master's,Software Development,12.0,160000.0
1269,41.0,Male,PhD,Software Development,12.0,175000.0
1270,26.0,Male,Bachelor's,Software Development,2.0,70000.0
1271,47.0,Male,PhD,Software Development,15.0,180000.0
1272,24.0,Female,Bachelor's,Software Development,1.0,60000.0
1273,48.0,Male,PhD,Operations and Project Management,16.0,190000.0
1274,32.0,Male,Bachelor's,Software Development,5.0,120000.0
1275,61.0,Male,PhD,Software Development,20.0,200000.0
1276,45.0,Male,PhD,Operations and Project Management,14.0,185000.0
1277,50.0,Female,PhD,Software Development,16.0,190000.0
1278,53.0,Male,PhD,Software Development,18.0,195000.0
1279,47.0,Female,PhD,Software Development,14.0,170000.0
1280,23.0,Male,Bachelor's,Software Development,1.0,55000.0
1281,33.0,Male,Master's,Software Development,6.0,130000.0
1282,42.0,Male,PhD,Software Development,14.0,180000.0
1283,45.0,Male,PhD,Operations and Project Management,14.0,185000.0
1284,23.0,Male,Bachelor's,Software Development,1.0,55000.0
1285,37.0,Male,Master's,Software Development,9.0,145000.0
1286,44.0,Female,Master's,Operations and Project Management,12.0,170000.0
1287,54.0,Male,PhD,Software Development,17.0,195000.0
1288,38.0,Female,Master's,Software Development,10.0,155000.0
1289,34.0,Male,Master's,Software Development,6.0,125000.0
1290,46.0,Female,PhD,Software Development,14.0,180000.0
1291,30.0,Male,Bachelor's,Software Development,4.0,95000.0
1292,44.0,Female,Master's,Software Development,11.0,170000.0
1293,27.0,Female,Master's,Software Development,3.0,100000.0
1294,42.0,Male,PhD,Operations and Project Management,14.0,175000.0
1295,27.0,Male,Bachelor's,Software Development,3.0,80000.0
1296,54.0,Male,PhD,Software Development,18.0,195000.0
1297,38.0,Male,Master's,Software Development,10.0,155000.0
1298,31.0,Male,Master's,Operations and Project Management,6.0,125000.0
1299,28.0,Female,Master's,Software Development,4.0,110000.0
1300,30.0,Female,Master's,Software Development,6.0,130000.0
1301,54.0,Male,PhD,Software Development,16.0,190000.0
1302,62.0,Male,PhD,Software Development,20.0,200000.0
1303,62.0,Male,PhD,Software Development,19.0,200000.0
1304,37.0,Male,Master's,Software Development,9.0,150000.0
1305,31.0,Male,Master's,Software Development,7.0,140000.0
1306,58.0,Female,PhD,Software Development,17.0,195000.0
1307,56.0,Male,PhD,Software Development,17.0,195000.0
1308,23.0,Female,Bachelor's,Software Development,1.0,55000.0
1309,49.0,Male,PhD,Software Development,15.0,185000.0
1310,32.0,Female,Master's,Software Development,5.0,120000.0
1311,52.0,Female,PhD,Software Development,16.0,190000.0
1312,32.0,Female,Master's,Software Development,6.0,130000.0
1313,50.0,Female,PhD,Software Development,16.0,190000.0
1314,32.0,Male,Master's,Software Development,6.0,130000.0
1315,34.0,Male,Master's,Software Development,7.0,140000.0
1316,28.0,Male,Bachelor's,Software Development,2.0,70000.0
1317,44.0,Male,Master's,Operations and Project Management,11.0,170000.0
1318,55.0,Male,PhD,Software Development,17.0,190000.0
1319,27.0,Male,Bachelor's,Software Development,3.0,80000.0
1320,46.0,Male,PhD,Software Development,14.0,180000.0
1321,27.0,Female,Master's,Software Development,2.0,70000.0
1322,45.0,Male,PhD,Operations and Project Management,14.0,185000.0
1323,23.0,Female,Bachelor's,Software Development,1.0,55000.0
1324,36.0,Female,Master's,Software Development,8.0,140000.0
1325,47.0,Female,PhD,Software Development,14.0,170000.0
1326,33.0,Male,Master's,Software Development,6.0,130000.0
1327,43.0,Male,PhD,Software Development,13.0,180000.0
1328,30.0,Male,Bachelor's,Software Development,4.0,95000.0
1329,28.0,Female,Bachelor's,Software Development,2.0,70000.0
1330,43.0,Male,Master's,Operations and Project Management,12.0,165000.0
1331,43.0,Male,PhD,Operations and Project Management,13.0,185000.0
1332,36.0,Male,Master's,Software Development,7.0,140000.0
1333,24.0,Male,Bachelor's,Software Development,1.0,60000.0
1334,28.0,Female,Bachelor's,Software Development,3.0,80000.0
1335,37.0,Male,Master's,Software Development,9.0,150000.0
1336,41.0,Female,PhD,Software Development,14.0,185000.0
1337,26.0,Male,Bachelor's,Software Development,2.0,70000.0
1338,28.0,Female,Master's,Software Development,3.0,90000.0
1339,43.0,Male,PhD,Software Development,12.0,170000.0
1340,42.0,Male,PhD,Software Development,14.0,170000.0
1341,48.0,Male,PhD,Operations and Project Management,16.0,190000.0
1342,27.0,Female,Master's,Software Development,2.0,70000.0
1343,49.0,Male,PhD,Software Development,15.0,185000.0
1344,44.0,Male,PhD,Operations and Project Management,12.0,170000.0
1345,27.0,Female,Master's,Software Development,3.0,100000.0
1346,37.0,Male,Master's,Software Development,10.0,155000.0
1347,44.0,Female,Master's,Operations and Project Management,12.0,170000.0
1348,56.0,Male,PhD,Software Development,18.0,195000.0
1349,49.0,Male,PhD,Software Development,15.0,185000.0
1350,27.0,Male,Bachelor's,Software Development,2.0,70000.0
1351,48.0,Male,PhD,Operations and Project Management,16.0,190000.0
1352,31.0,Male,Master's,Software Development,7.0,140000.0
1353,25.0,Male,Bachelor's,Software Development,1.0,60000.0
1354,50.0,Male,PhD,Software Development,16.0,190000.0
1355,46.0,Male,PhD,Software Development,14.0,180000.0
1356,33.0,Male,Master's,Software Development,6.0,130000.0
1357,42.0,Male,PhD,Software Development,14.0,170000.0
1358,41.0,Male,PhD,Operations and Project Management,12.0,165000.0
1359,43.0,Male,PhD,Operations and Project Management,13.0,185000.0
1360,32.0,Male,Master's,Software Development,6.0,130000.0
1361,24.0,Male,Bachelor's,Software Development,1.0,60000.0
1362,44.0,Female,Master's,Software Development,11.0,170000.0
1363,36.0,Male,Master's,Software Development,7.0,140000.0
1364,28.0,Female,Master's,Software Development,4.0,110000.0
1365,28.0,Male,Bachelor's,Software Development,2.0,70000.0
1366,37.0,Male,Master's,Software Development,9.0,145000.0
1367,54.0,Male,PhD,Software Development,16.0,190000.0
1368,58.0,Male,PhD,Software Development,17.0,200000.0
1369,27.0,Male,Bachelor's,Software Development,3.0,80000.0
1370,30.0,Male,Bachelor's,Software Development,4.0,95000.0
1371,27.0,Female,Master's,Software Development,3.0,100000.0
1372,54.0,Male,PhD,Software Development,17.0,195000.0
1373,49.0,Male,PhD,Software Development,15.0,185000.0
1374,38.0,Male,Master's,Software Development,10.0,155000.0
1375,54.0,Male,PhD,Software Development,18.0,195000.0
1376,31.0,Male,Master's,Operations and Project Management,6.0,125000.0
1377,56.0,Male,PhD,Software Development,17.0,195000.0
1378,31.0,Male,Master's,Software Development,7.0,140000.0
1379,42.0,Male,PhD,Software Development,14.0,170000.0
1380,44.0,Male,Master's,Operations and Project Management,11.0,170000.0
1381,37.0,Male,Master's,Software Development,9.0,150000.0
1382,24.0,Female,Bachelor's,Software Development,1.0,60000.0
1383,27.0,Male,Bachelor's,Software Development,2.0,70000.0
1384,42.0,Male,PhD,Software Development,14.0,170000.0
1385,24.0,Female,Bachelor's,Software Development,1.0,55000.0
1386,28.0,Female,Bachelor's,Software Development,3.0,80000.0
1387,43.0,Male,PhD,Operations and Project Management,13.0,185000.0
1388,31.0,Male,Master's,Software Development,7.0,140000.0
1389,43.0,Male,PhD,Software Development,13.0,180000.0
1390,27.0,Female,Master's,Software Development,2.0,70000.0
1391,49.0,Male,PhD,Software Development,15.0,185000.0
1392,48.0,Male,PhD,Operations and Project Management,16.0,190000.0
1393,30.0,Female,Master's,Software Development,6.0,130000.0
1394,28.0,Female,Master's,Software Development,4.0,110000.0
1395,46.0,Male,PhD,Software Development,14.0,180000.0
1396,37.0,Male,Master's,Software Development,9.0,145000.0
1397,42.0,Male,PhD,Software Development,14.0,170000.0
1398,43.0,Male,PhD,Operations and Project Management,12.0,165000.0
1399,31.0,Male,Master's,Software Development,7.0,140000.0
1400,56.0,Male,PhD,Software Development,17.0,195000.0
1401,37.0,Male,Master's,Software Development,10.0,155000.0
1402,54.0,Male,PhD,Software Development,16.0,190000.0
1403,58.0,Male,PhD,Software Development,17.0,195000.0
1404,33.0,Male,Master's,Software Development,6.0,130000.0
1405,29.0,Female,Bachelor's,Software Development,3.0,85000.0
1406,52.0,Male,PhD,Software Development,18.0,200000.0
1407,36.0,Male,Master's,Software Development,8.0,140000.0
1408,26.0,Male,Bachelor's,Software Development,2.0,65000.0
1409,47.0,Male,PhD,Operations and Project Management,16.0,190000.0
1410,32.0,Male,Master's,Software Development,6.0,120000.0
1411,29.0,Male,Bachelor's,Software Development,3.0,80000.0
1412,28.0,Female,Master's,Software Development,3.0,90000.0
1413,54.0,Male,PhD,Software Development,16.0,190000.0
1414,57.0,Male,PhD,Software Development,18.0,200000.0
1415,51.0,Male,PhD,Software Development,16.0,190000.0
1416,28.0,Female,Master's,Software Development,4.0,110000.0
1417,46.0,Male,PhD,Software Development,14.0,180000.0
